"","stem","form"
"1","bump","bumps"
"2","tap","tapping"
"3","attack","attack"
"4","choose","chosen"
"5","choose","chooses"
"6","check","checks"
"7","greet","greet"
"8","greet","greeted"
"9","greet","greeting"
"10","greet","greets"
"11","celebrate","celebrated"
"12","celebrate","celebrates"
"13","invite","invites"
"14","adopt","adopt"
"15","adopt","adopted"
"16","adopt","adopting"
"17","adopt","adopts"
"18","insert","insert"
"19","insert","inserted"
"20","insert","inserting"
"21","insert","inserts"
"22","knot","knotted"
"23","knot","knotting"
"24","knot","knots"
"25","stroke","stroke"
"26","stroke","stroked"
"27","stroke","stroking"
"28","stroke","strokes"
