"","target_child_id","tokens","corpus_name"
"1",1741,58,"Clark"
"2",2479,2,"VanKleeck"
"3",2483,2,"VanKleeck"
"4",2485,4,"VanKleeck"
"5",2486,2,"VanKleeck"
"6",2491,2,"VanKleeck"
"7",2497,2,"VanKleeck"
"8",2498,9,"VanKleeck"
"9",2503,1,"VanKleeck"
"10",2505,2,"VanKleeck"
"11",2507,1,"VanKleeck"
"12",2508,3,"VanKleeck"
"13",2515,2,"VanKleeck"
"14",2517,2,"VanKleeck"
"15",2519,91,"Suppes"
"16",2529,7,"Gopnik"
"17",2543,202,"Kuczaj"
"18",2572,9,"Gleason"
"19",2585,11,"Gleason"
"20",2586,15,"Gleason"
"21",2601,9,"Gleason"
"22",2605,5,"Gleason"
"23",2606,2,"Gleason"
"24",2636,5,"Gleason"
"25",2640,9,"Gleason"
"26",2658,11,"Gleason"
"27",2725,96,"HSLLD"
"28",3057,8,"Gelman"
"29",3144,9,"Bloom"
"30",3330,240,"Brown"
"31",3351,126,"Brown"
"32",3395,33,"MacWhinney"
"33",3507,10,"VanHouten"
"34",3512,4,"VanHouten"
"35",3517,5,"VanHouten"
"36",3519,5,"VanHouten"
"37",3521,8,"VanHouten"
"38",3524,4,"VanHouten"
"39",3532,1,"VanHouten"
"40",3534,4,"VanHouten"
"41",3537,6,"VanHouten"
"42",3538,3,"VanHouten"
"43",3543,1,"VanHouten"
"44",3546,2,"VanHouten"
"45",3550,2,"VanHouten"
"46",3553,2,"VanHouten"
"47",3560,4,"VanHouten"
"48",3562,2,"VanHouten"
"49",3564,3,"VanHouten"
"50",3565,3,"VanHouten"
"51",3567,9,"VanHouten"
"52",3906,105,"Braunwald"
"53",3940,19,"Sachs"
"54",3973,4,"Weist"
"55",3978,59,"Weist"
"56",3985,44,"Weist"
"57",4001,93,"Weist"
"58",4011,78,"Weist"
"59",4031,7,"Morisset"
"60",4208,1,"Morisset"
"61",4214,1,"Morisset"
"62",5510,7,"Bliss"
"63",5525,16,"Demetras1"
"64",5533,8,"Bohannon"
"65",5547,21,"Bohannon"
"66",5551,2,"Bohannon"
"67",5564,66,"Snow"
"68",22695,1,"Davis"
"69",22704,31,"Providence"
"70",22728,28,"Providence"
"71",22743,25,"Providence"
"72",22755,11,"Providence"
"73",22764,30,"Providence"
