sym,foil_stem,foil_form
touch,bump,bump
touch,bump,bumped
touch,bump,bumping
touch,bump,bumps
touch,tap,tap
touch,tap,tapped
touch,tap,tapping
touch,hold,hold
touch,hold,held
touch,hold,holding
fight,punch,punch
fight,punch,punched
fight,punch,punching
fight,kick,kick
fight,kick,kicked
fight,kick,kicking
fight,attack,attack
fight,attack,attacked
fight,attack,attacking
match,choose,choose
match,choose,chose
match,choose,choosing
match,choose,chosen
match,choose,chooses
match,check,check
match,check,checked
match,check,checking
match,check,checks
kiss,lick,lick
kiss,lick,licked
kiss,lick,licking
kiss,lick,licks
kiss,bite,bite
kiss,bite,bit
kiss,bite,biting
kiss,bite,bitten
kiss,bite,bites
meet,teach,teach
meet,teach,taught
meet,teach,teaching
meet,teach,teaches
meet,greet,greet
meet,greet,greeted
meet,greet,greeting
meet,greet,greets
marry,celebrate,celebrate
marry,celebrate,celebrated
marry,celebrate,celebrating
marry,celebrate,celebrates
marry,invite,invite
marry,invite,invited
marry,invite,inviting
marry,invite,invites
marry,adopt,adopt
marry,adopt,adopted
marry,adopt,adopting
marry,adopt,adopts
attach,cover,cover
attach,cover,covered
attach,cover,covering
attach,cover,covers
attach,insert,insert
attach,insert,inserted
attach,insert,inserting
attach,insert,inserts
connect,knot,knot
connect,knot,knotted
connect,knot,knotting
connect,knot,knots
connect,tie,tie
connect,tie,tied
connect,tie,tying
connect,tie,ties
connect,drop,drop
connect,drop,dropped
connect,drop,dropping
connect,drop,drops
hug,stroke,stroke
hug,stroke,stroked
hug,stroke,stroking
hug,stroke,strokes
hug,pet,pet
hug,pet,petted
hug,pet,petting
hug,pet,pets
hug,tickle,tickle
hug,tickle,tickled
hug,tickle,tickling
hug,tickle,tickles
separate ,push,push
separate ,push,pushed
separate ,push,pushing
separate ,push,pushes
trade,sell,sell
trade,sell,sold
trade,sell,selling
trade,sell,sells
trade,buy,buy
trade,buy,bought
trade,buy,buying
trade,buy,buys
join,pull,pull
join,pull,pulled
join,pull,pulling
join,pull,pulls
