stem,form,pos
same,same,adj
hug,hug,v
hug,hugs,v
hug,hugging,part
hug,hugging,v
hug,hugged,part
hug,hugged,v
agree,agree,v
agree,agreed,part
agree,agreed,v
agree,agreeing,part
agree,agreeing,v
friend,friend,n
friend,friends,n
friend,friended,v
marry,marry,v
marry,marries,v
marry,married,v
marry,married,part
marry,married,adj
marry,marrying,part
marry,marrying,v
connect,connect,v
connect,connected,part
connect,connected,v
connect,connects,v
connect,connecting,part
connect,connecting,v
equal,equal,adj
equal,equaling,part
equal,equaling,v
equal,equaled,part
equal,equaled,v
equal,equals,v
disagree,disagree,v
disagree,disagreed,part
disagree,disagreed,v
disagree,disagreeing,part
disagree,disagreeing,v
touch,touch,v
touch,touches,v
touch,touched,part
touch,touched,v
touch,touching,part
touch,touching,v
similar,similar,adj
trade,trade,v
trade,trading,part
trade,trading,v
trade,trades,v
trade,traded,part
trade,traded,v
match,match,v
match,matches,v
match,matched,part
match,matched,v
match,matching,part
match,matching,v
argue,argue,v
argue,argued,part
argue,argued,v
argue,arguing,part
argue,arguing,v
argue,argues,v
chat,chat,v
chat,chatting,part
chat,chatting,v
chat,chats,v
chat,chatted,part
chat,chatted,v
fight,fight,v
fight,fighting,part
fight,fighting,v
fight,fought,part
fight,fought,v
fight,fights,v
bump,bump,v
bump,bumped,part
bump,bumped,v
bump,bumps,v
bump,bumping,part
bump,bumping,v
combine,combine,v
combine,combining,part
combine,combining,v
combine,combines,v
combine,combined,part
combine,combined,v
kiss,kiss,v
kiss,kisses,v
kiss,kissed,part
kiss,kissed,v
kiss,kissing,part
kiss,kissing,v
compete,compete,v
compete,competing,part
compete,competing,v
compete,competes,v
compete,competed,part
compete,competed,v
differ,differ,v
differ,differed,part
differ,differed,v
differ,differs,v
differ,differing,part
differ,differing,v
separate,separate,v
separate,separated,part
separate,separated,v
separate,separates,v
separate,separating,part
separate,separating,v
meet,meet,v
meet,met,part
meet,met,v
meet,meeting,part
meet,meeting,v
meet,meets,v
split,split,part
split,split,v
split,splitting,part
split,splitting,v
split,splits,v
attach,attach,v
attach,attaching,part
attach,attaching,v
attach,attached,part
attach,attached,v
attach,attaches,v
join,join,v
join,joins,v
join,joined,part
join,joined,v
join,joining,part
join,joining,v
