"","stem","form"
"1","same","same"
"2","hug","hugs"
"3","hug","hugged"
"4","agree","agreeing"
"5","friend","friend"
"6","friend","friends"
"7","friend","friended"
"8","connect","connects"
"9","connect","connecting"
"10","equal","equal"
"11","equal","equaling"
"12","equal","equaled"
"13","equal","equals"
"14","disagree","disagree"
"15","disagree","disagreed"
"16","disagree","disagreeing"
"17","similar","similar"
"18","trade","trading"
"19","trade","trades"
"20","trade","traded"
"21","match","matched"
"22","argue","argue"
"23","argue","argued"
"24","argue","argues"
"25","chat","chatting"
"26","chat","chats"
"27","chat","chatted"
"28","bump","bumps"
"29","combine","combine"
"30","combine","combining"
"31","combine","combines"
"32","combine","combined"
"33","compete","compete"
"34","compete","competing"
"35","compete","competes"
"36","compete","competed"
"37","differ","differ"
"38","differ","differed"
"39","differ","differs"
"40","differ","differing"
"41","separate","separates"
"42","separate","separating"
"43","split","splits"
"44","attach","attaching"
"45","attach","attaches"
"46","join","joins"
"47","join","joining"
