"","target_child_id","tokens","corpus_name"
"1",1741,10,"Clark"
"2",2485,2,"VanKleeck"
"3",2517,1,"VanKleeck"
"4",2519,20,"Suppes"
"5",2529,1,"Gopnik"
"6",2543,27,"Kuczaj"
"7",2601,3,"Gleason"
"8",2606,1,"Gleason"
"9",2725,11,"HSLLD"
"10",3057,1,"Gelman"
"11",3144,1,"Bloom"
"12",3330,36,"Brown"
"13",3351,10,"Brown"
"14",3395,14,"MacWhinney"
"15",3560,1,"VanHouten"
"16",3906,17,"Braunwald"
"17",3940,2,"Sachs"
"18",3978,5,"Weist"
"19",3985,3,"Weist"
"20",4001,6,"Weist"
"21",4011,21,"Weist"
"22",5510,1,"Bliss"
"23",5525,5,"Demetras1"
"24",5547,3,"Bohannon"
"25",5564,6,"Snow"
"26",22695,2,"Davis"
"27",22704,51,"Providence"
"28",22728,16,"Providence"
"29",22743,13,"Providence"
"30",22755,14,"Providence"
"31",22764,6,"Providence"
